,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8
0,Not_Specific,No,Often,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
1,Night_Time,No,Often,Seldom,No,Under_Graudate,Qualitative,Synchronous
2,Not_Specific,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
3,Day_Time,No,Seldom,Seldom,Yes,Post_Graduate,Qualitative,Synchronous
4,Not_Specific,Yes,Often,Often,Yes,Under_Graudate,Quanitative,Synchronous
5,Night_Time,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
6,Day_Time,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
7,Day_Time,Yes,Seldom,Often,Yes,Under_Graudate,Quanitative,Synchronous
8,Not_Specific,No,Seldom,Seldom,Yes,Under_Graudate,Qualitative,Synchronous
9,Not_Specific,Yes,Seldom,Seldom,No,Post_Graduate,Qualitative,Synchronous
10,Night_Time,No,Seldom,Seldom,Yes,Post_Graduate,Quanitative,Synchronous
11,Day_Time,No,Seldom,Seldom,Yes,Under_Graudate,Qualitative,Synchronous
12,Day_Time,No,Seldom,Seldom,No,Under_Graudate,Quanitative,Synchronous
13,Not_Specific,No,Seldom,Seldom,Yes,Under_Graudate,Qualitative,Synchronous
14,Day_Time,Yes,Often,Seldom,No,Under_Graudate,Quanitative,Synchronous
15,Night_Time,No,Often,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
16,Day_Time,Yes,Often,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
17,Day_Time,No,Seldom,Seldom,No,Under_Graudate,Quanitative,Synchronous
18,Day_Time,No,Seldom,Seldom,No,Under_Graudate,Quanitative,Synchronous
19,Not_Specific,Yes,Seldom,Seldom,Yes,Post_Graduate,Quanitative,Synchronous
20,Night_Time,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
21,Night_Time,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
22,Not_Specific,No,Seldom,Seldom,Yes,Post_Graduate,Quanitative,Synchronous
23,Night_Time,No,Seldom,Often,No,Post_Graduate,Qualitative,Synchronous
24,Night_Time,No,Often,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
25,Night_Time,Yes,Seldom,Often,Yes,Post_Graduate,Quanitative,Synchronous
26,Night_Time,No,Seldom,Often,Yes,Under_Graudate,Quanitative,Synchronous
27,Night_Time,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
28,Not_Specific,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
29,Not_Specific,No,Seldom,Often,Yes,Under_Graudate,Quanitative,Synchronous
30,Not_Specific,No,Often,Often,No,Post_Graduate,Qualitative,Asynchronous
31,Not_Specific,Yes,Often,Often,No,Under_Graudate,Qualitative,Asynchronous
32,Not_Specific,Yes,Often,Seldom,No,Post_Graduate,Qualitative,Asynchronous
33,Night_Time,No,Seldom,Often,No,Post_Graduate,Qualitative,Asynchronous
34,Night_Time,Yes,Often,Often,No,Post_Graduate,Quanitative,Asynchronous
35,Not_Specific,No,Often,Seldom,No,Under_Graudate,Qualitative,Asynchronous
36,Not_Specific,No,Often,Seldom,Yes,Post_Graduate,Quanitative,Asynchronous
37,Night_Time,Yes,Seldom,Seldom,No,Under_Graudate,Qualitative,Asynchronous
38,Night_Time,No,Often,Often,Yes,Post_Graduate,Qualitative,Asynchronous
39,Night_Time,Yes,Often,Seldom,No,Under_Graudate,Qualitative,Asynchronous
