,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8
0,Night_Time,Yes,Seldom,Seldom,Yes,Post_Graduate,Quanitative,Synchronous
1,Not_Specific,Yes,Often,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
2,Night_Time,Yes,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
3,Not_Specific,Yes,Seldom,Seldom,No,Under_Graudate,Quanitative,Synchronous
4,Night_Time,No,Often,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
5,Night_Time,No,Seldom,Seldom,No,Under_Graudate,Quanitative,Synchronous
6,Day_Time,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
7,Night_Time,Yes,Seldom,Seldom,Yes,Post_Graduate,Quanitative,Synchronous
8,Not_Specific,Yes,Seldom,Seldom,No,Under_Graudate,Quanitative,Synchronous
9,Day_Time,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
10,Night_Time,Yes,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
11,Day_Time,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
12,Day_Time,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
13,Day_Time,No,Seldom,Seldom,No,Post_Graduate,Quanitative,Synchronous
14,Night_Time,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
15,Night_Time,No,Often,Seldom,Yes,Post_Graduate,Quanitative,Synchronous
16,Day_Time,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
17,Night_Time,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
18,Night_Time,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
19,Night_Time,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
20,Night_Time,No,Often,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
21,Day_Time,No,Often,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
22,Not_Specific,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
23,Not_Specific,No,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
24,Night_Time,Yes,Seldom,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
25,Night_Time,No,Often,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
26,Night_Time,Yes,Often,Seldom,Yes,Under_Graudate,Quanitative,Synchronous
